To,Direction,Location,I/O Standard,Pull-Up
cts1,Input,PIN_D11,3.3-V LVTTL,
hSync,Output,PIN_D14,3.3-V LVTTL,
i_clk,Input,PIN_E1,3.3-V LVTTL,
i_key1,Input,PIN_F3,3.3-V LVTTL,on
i_n_reset,Input,PIN_J6,3.3-V LVTTL,on
n_sdRamCas,Output,PIN_M7,3.3-V LVTTL,
n_sdRamCe,Output,PIN_P8,3.3-V LVTTL,
n_sdRamRas,Output,PIN_M8,3.3-V LVTTL,
n_sdRamWe,Output,PIN_P6,3.3-V LVTTL,
n_sRamCS,Output,PIN_E5,3.3-V LVTTL,
n_sRamOE,Output,PIN_A3,3.3-V LVTTL,
n_sRamWE,Output,PIN_B7,3.3-V LVTTL,
o_UsrLed,Output,PIN_L9,3.3-V LVTTL,
ps2Clk,Bidir,PIN_G1,3.3-V LVTTL,on
ps2Data,Bidir,PIN_G2,3.3-V LVTTL,on
rts1,Output,PIN_B10,3.3-V LVTTL,
rxd1,Input,PIN_D12,3.3-V LVTTL,
sdCS,Output,PIN_B16,3.3-V LVTTL,
sdMISO,Input,PIN_C15,3.3-V LVTTL,on
sdMOSI,Output,PIN_A15,3.3-V LVTTL,
sdRamAddr[14],Output,PIN_L8,3.3-V LVTTL,
sdRamAddr[13],Output,PIN_N8,3.3-V LVTTL,
sdRamAddr[12],Output,PIN_T2,3.3-V LVTTL,
sdRamAddr[11],Output,PIN_R3,3.3-V LVTTL,
sdRamAddr[10],Output,PIN_T6,3.3-V LVTTL,
sdRamAddr[9],Output,PIN_T3,3.3-V LVTTL,
sdRamAddr[8],Output,PIN_R4,3.3-V LVTTL,
sdRamAddr[7],Output,PIN_T4,3.3-V LVTTL,
sdRamAddr[6],Output,PIN_R5,3.3-V LVTTL,
sdRamAddr[5],Output,PIN_T5,3.3-V LVTTL,
sdRamAddr[4],Output,PIN_R6,3.3-V LVTTL,
sdRamAddr[3],Output,PIN_T8,3.3-V LVTTL,
sdRamAddr[2],Output,PIN_R8,3.3-V LVTTL,
sdRamAddr[1],Output,PIN_T7,3.3-V LVTTL,
sdRamAddr[0],Output,PIN_R7,3.3-V LVTTL,
sdRamClk,Output,PIN_P2,3.3-V LVTTL,
sdRamClkEn,Output,PIN_R1,3.3-V LVTTL,
sdRamData[15],Input,PIN_J2,3.3-V LVTTL,
sdRamData[14],Input,PIN_J1,3.3-V LVTTL,
sdRamData[13],Input,PIN_K2,3.3-V LVTTL,
sdRamData[12],Input,PIN_K1,3.3-V LVTTL,
sdRamData[11],Input,PIN_L2,3.3-V LVTTL,
sdRamData[10],Input,PIN_L1,3.3-V LVTTL,
sdRamData[9],Input,PIN_N1,3.3-V LVTTL,
sdRamData[8],Input,PIN_N2,3.3-V LVTTL,
sdRamData[7],Input,PIN_N5,3.3-V LVTTL,
sdRamData[6],Input,PIN_P3,3.3-V LVTTL,
sdRamData[5],Input,PIN_M6,3.3-V LVTTL,
sdRamData[4],Input,PIN_N3,3.3-V LVTTL,
sdRamData[3],Input,PIN_K6,3.3-V LVTTL,
sdRamData[2],Input,PIN_L4,3.3-V LVTTL,
sdRamData[1],Input,PIN_L3,3.3-V LVTTL,
sdRamData[0],Input,PIN_K5,3.3-V LVTTL,
sdSCLK,Output,PIN_C16,3.3-V LVTTL,
serSelect,Input,,,
sramAddress[19],Output,PIN_D8,3.3-V LVTTL,
sramAddress[18],Output,PIN_D9,3.3-V LVTTL,
sramAddress[17],Output,PIN_B8,3.3-V LVTTL,
sramAddress[16],Output,PIN_B9,3.3-V LVTTL,
sramAddress[15],Output,PIN_E8,3.3-V LVTTL,
sramAddress[14],Output,PIN_A9,3.3-V LVTTL,
sramAddress[13],Output,PIN_A8,3.3-V LVTTL,
sramAddress[12],Output,PIN_C9,3.3-V LVTTL,
sramAddress[11],Output,PIN_C8,3.3-V LVTTL,
sramAddress[10],Output,PIN_A7,3.3-V LVTTL,
sramAddress[9],Output,PIN_A6,3.3-V LVTTL,
sramAddress[8],Output,PIN_A4,3.3-V LVTTL,
sramAddress[7],Output,PIN_C3,3.3-V LVTTL,
sramAddress[6],Output,PIN_F5,3.3-V LVTTL,
sramAddress[5],Output,PIN_C2,3.3-V LVTTL,
sramAddress[4],Output,PIN_D1,3.3-V LVTTL,
sramAddress[3],Output,PIN_B1,3.3-V LVTTL,
sramAddress[2],Output,PIN_D3,3.3-V LVTTL,
sramAddress[1],Output,PIN_B3,3.3-V LVTTL,
sramAddress[0],Output,PIN_B4,3.3-V LVTTL,
sramData[7],Bidir,PIN_A2,3.3-V LVTTL,
sramData[6],Bidir,PIN_E6,3.3-V LVTTL,
sramData[5],Bidir,PIN_D6,3.3-V LVTTL,
sramData[4],Bidir,PIN_A5,3.3-V LVTTL,
sramData[3],Bidir,PIN_B6,3.3-V LVTTL,
sramData[2],Bidir,PIN_B5,3.3-V LVTTL,
sramData[1],Bidir,PIN_C6,3.3-V LVTTL,
sramData[0],Bidir,PIN_D4,3.3-V LVTTL,
txd1,Output,PIN_A10,3.3-V LVTTL,
videoB0,Output,PIN_B14,3.3-V LVTTL,
videoB1,Output,PIN_A14,3.3-V LVTTL,
videoG0,Output,PIN_B13,3.3-V LVTTL,
videoG1,Output,PIN_A13,3.3-V LVTTL,
videoR0,Output,PIN_B12,3.3-V LVTTL,
videoR1,Output,PIN_A12,3.3-V LVTTL,
vSync,Output,PIN_C14,3.3-V LVTTL,
